Date,SPY,SPYOP
39442,149.55,148.65
39443,147.67,149.02
39444,147.3,148.54
39447,146.21,147.1
39449,144.93,146.53
39450,144.86,144.91
39451,141.31,143.34
39454,141.19,141.81
39455,138.91,142.08
39456,140.37,139.09
39457,141.29,139.68
39458,140.15,140.78
39461,141.28,141.16
39462,138.17,139.79
39463,136.98,137.36
39464,133.43,137.81
39465,132.06,134.74
39469,130.72,127.21
39470,133.86,127.09
39471,134.99,134.48
39472,133.04,136.51
39475,135.24,133.26
39476,135.91,136.1
39477,134.91,135.58
39478,137.37,133.4
39479,139.58,137.94
39482,137.82,139.21
39483,134.13,135.94
39484,133.05,134.58
39485,133.93,131.8
39486,133.07,133.09
39489,133.75,133.1
39490,134.99,134.91
39491,136.37,136.01
39492,135.17,136.95
39493,135.14,134.55
39497,135.52,136.69
39498,135.92,133.99
39499,134.79,136.66
39500,135.62,134.97
39503,137.33,135.54
39504,138.36,136.75
39505,138.22,137.56
39506,136.87,137.24
39507,133.82,135.6
39510,133.5,133.14
39511,132.99,132.23
39512,133.83,133.41
39513,131.06,132.98
39514,129.71,129.63
39517,128,129.81
39518,132.6,130.72
39519,131.36,132.73
39520,131.65,129.61
39521,129.61,132.77
39524,128.3,126.57
39525,133.63,130.62
39526,130.32,134.14
39527,132.08,130.05
39531,134.72,133.31
39532,134.85,134.86
39533,133.2,134.46
39534,132.78,134.2
39535,131.51,132.99
39538,131.97,131.29
39539,136.61,133.71
39540,136.7,137.06
39541,137.04,135.94
39542,136.89,137.12
39545,136.96,137.87
39546,136.82,136.19
39547,135.83,136.61
39548,136.02,135.39
39549,133.38,134.45
39552,132.93,133.19
39553,133.24,133.58
39554,136.85,134.54
39555,137.05,136.02
39556,138.48,138.94
39559,138.55,138.23
39560,137.94,138.19
39561,137.72,138.09
39562,138.32,138.08
39563,139.6,139.41
39566,139.63,139.88
39567,139.08,139.39
39568,138.26,139.29
39569,141.12,138.39
39570,141.51,142.33
39573,140.83,141.05
39574,142.05,140.01
39575,139.52,141.89
39576,139.22,139.74
39577,138.9,138.6
39580,140.46,139.25
39581,140.48,140.8
39582,140.77,141.07
39583,142.53,141.04
39584,142.66,142.86
39587,143.05,142.81
39588,141.89,142.27
39589,139.49,141.81
39590,139.51,139.43
39591,137.64,139.05
39595,138.66,137.8
39596,139.3,139.17
39597,140,139.13
39598,140.35,140.47
39601,138.9,139.83
39602,138.09,139.3
39603,138.02,137.7
39604,140.78,138.58
39605,136.29,139.55
39608,136.62,136.86
39609,135.94,135.67
39610,133.94,135.97
39611,134.45,134.6
39612,136.15,135.17
39615,136.23,135.55
39616,135.57,137.07
39617,134.25,134.69
39618,134.42,134.15
39619,131.58,132.84
39622,131.45,132.09
39623,131.19,131.05
39624,131.81,131.72
39625,128.23,130.57
39626,127.53,128.28
39629,127.98,127.89
39630,128.38,126.52
39631,126.18,128.79
39632,126.31,127.11
39636,125.02,126.79
39637,127.24,124.99
39638,124.79,127.5
39639,125.3,124.43
39640,123.84,123.97
39643,122.72,125.26
39644,120.99,121.8
39645,123.96,121.45
39646,125.2,125.14
39647,125.98,126.17
39650,126.05,126.51
39651,127.48,125.15
39652,128.17,127.89
39653,125.51,128.34
39654,125.48,125.89
39657,123.64,125.51
39658,126.28,123.98
39659,128.53,127.11
39660,126.83,127.4
39661,126.16,127.12
39664,124.99,126.04
39665,128.36,126.02
39666,128.93,128.02
39667,127.01,127.96
39668,129.37,126.58
39671,130.71,129.47
39672,129.35,130.28
39673,128.57,128.79
39674,129.54,127.84
39675,130.17,129.93
39678,128.39,130.43
39679,126.99,127.42
39680,127.58,127.39
39681,127.8,126.75
39682,129.65,128.67
39685,127.02,128.8
39686,127.39,127.02
39687,128.63,127.55
39688,130.19,129.28
39689,128.79,129.73
39693,127.99,130.03
39694,127.88,127.88
39695,124.03,126.97
39696,124.42,123.29
39699,126.99,128.04
39700,123.22,127.1
39701,123.72,123.89
39702,125.51,122.12
39703,126.09,124.29
39706,120.09,121.63
39707,122.1,117.2
39708,116.61,119.64
39709,120.07,118.05
39710,124.12,126.7
39713,121.31,124.451
39714,118.55,120.85
39715,118.93,119.35
39716,120.79,119.4
39717,120.85,118.83
39720,111.38,119.18
39721,115.99,113.51
39722,116.06,115.27
39723,111.85,114.95
39724,110.34,112.86
39727,104.72,107.15
39728,100.03,106.84
39729,97.51,97.52
39730,90.7,99.66
39731,88.5,86.76
39734,101.35,93.87
39735,99.85,104.7
39736,90.02,97.46
39737,93.77,91.29
39738,93.21,91.99
39741,98.81,95.35
39742,95.86,96.97
39743,90.64,93.2
39744,91.69,90.29
39745,87.04,84.06
39748,83.95,85.97
39749,93.76,87.34
39750,93.08,93.77
39751,96.3,95.78
39752,96.83,95.08
39755,97.11,96.78
39756,100.41,99.06
39757,96.19,99.2
39758,90.86,94.46
39759,93.86,91.65
39762,92.63,95.21
39763,89.77,90.76
39764,85.82,88.23
39765,91.17,86.13
39766,86.62,89.41
39769,85.47,86.38
39770,87.08,85.15
39771,81.5,85.91
39772,75.45,80.13
39773,79.52,77.46
39776,85.03,81.92
39777,85.66,87.3
39778,88.97,84.3
39780,90.09,88.63
39783,82.11,87.51
39784,85.27,83.47
39785,87.32,83.4
39786,85.3,86.06
39787,87.93,83.65
39790,91,90.34
39791,89.5,90.37
39792,90.11,90.32
39793,87.94,89.54
39794,88.99,85.55
39797,87.75,89.02
39798,91.88,88.3
39799,90.99,90.84
39800,89.29,91.4
39801,88.19,89.1
39804,87.06,88.58
39805,86.16,87.53
39806,86.66,86.45
39808,87.16,87.24
39811,86.91,87.24
39812,88.97,87.51
39813,90.24,89.08
39815,92.96,90.44
39818,92.85,92.63
39819,93.47,93.64
39820,90.67,92
39821,91.042,90.16
39822,89.09,91.16
39825,86.95,88.84
39826,87.11,86.73
39827,84.37,85.54
39828,84.4,84.12
39829,85.06,85.86
39833,80.57,84.23
39834,84.05,81.94
39835,82.75,82.42
39836,83.11,80.9
39839,83.68,83.59
39840,84.53,84.13
39841,87.39,86.4
39842,84.55,86.11
39843,82.83,84.98
39846,82.58,81.57
39847,83.74,83.1
39848,83.33,84.3
39849,84.57,82.7
39850,86.979,84.86
39853,87.1,86.96
39854,83.11,86.27
39855,83.6,83.45
39856,83.66,82.17
39857,82.76,83.55
39861,79.22,80.16
39862,79.03,79.79
39863,78.181,79.84
39864,77.42,76.73
39867,74.65,78.27
39868,77.48,75.29
39869,76.872,77.14
39870,75.62,77.82
39871,73.93,74.01
39874,70.6,72.52
39875,70.07,71.61
39876,71.73,71.23
39877,68.8,70.1
39878,68.92,69.4
39881,68.11,67.95
39882,72.17,69.51
39883,72.64,73
39884,75.5,72.62
39885,76.09,76.01
39888,75.86,76.96
39889,78.18,76.07
39890,79.93,77.81
39891,78.94,80.93
39892,76.71,78.76
39895,82.22,78.74
39896,80.6,81.24
39897,81.45,81.23
39898,83.11,82.25
39899,81.61,82.05
39902,78.79,79.8
39903,79.52,79.56
39904,81.06,78.53
39905,83.43,83.08
39906,84.26,83.49
39909,83.6,83.34
39910,81.65,82.25
39911,82.53,82.06
